Filename,Is_nonempty,Location,Heading,Ship
20171105_190732_Location-6A_Heading-East_Ship-Fishing-1.jpg,1,6A,East,Fishing-1
20171105_190746_Location-1C_Heading-West_Ship-Cruiser-2.jpg,1,1C,West,Cruiser-2
20171105_190836_Location-2B_Heading-East_Ship-Cruiser-3.jpg,1,2B,East,Cruiser-3
20171105_190906_Location-3C_Heading-East_Ship-Fishing-2.jpg,1,3C,East,Fishing-2
20171105_190925_Empty.jpg,0,,,
20171105_190931_Location-2D_Heading-West_Ship-Cruiser-3.jpg,1,2D,West,Cruiser-3
20171105_190950_Location-6D_Heading-East_Ship-Fishing-1.jpg,1,6D,East,Fishing-1
20171105_191011_Location-2B_Heading-East_Ship-Cruiser-1.jpg,1,2B,East,Cruiser-1
20171105_191025_Location-4B_Heading-East_Ship-Cruiser-2.jpg,1,4B,East,Cruiser-2
20171105_191050_Empty.jpg,0,,,
20171105_191056_Location-6B_Heading-East_Ship-Cruiser-2.jpg,1,6B,East,Cruiser-2
20171105_191112_Location-5C_Heading-West_Ship-Cruiser-3.jpg,1,5C,West,Cruiser-3
20171105_191131_Location-1C_Heading-West_Ship-Freighter.jpg,1,1C,West,Freighter
20171105_191144_Location-7D_Heading-East_Ship-Cruiser-2.jpg,1,7D,East,Cruiser-2
20171105_191157_Location-3B_Heading-West_Ship-Fishing-2.jpg,1,3B,West,Fishing-2
20171105_191218_Location-6A_Heading-West_Ship-Freighter.jpg,1,6A,West,Freighter
20171105_191230_Location-4B_Heading-East_Ship-Cruiser-2.jpg,1,4B,East,Cruiser-2
20171105_191246_Location-6A_Heading-West_Ship-Freighter.jpg,1,6A,West,Freighter
20171105_191302_Location-7B_Heading-East_Ship-Fishing-2.jpg,1,7B,East,Fishing-2
20171105_191322_Location-5A_Heading-West_Ship-Cruiser-1.jpg,1,5A,West,Cruiser-1
20171105_191336_Location-5C_Heading-East_Ship-Cruiser-1.jpg,1,5C,East,Cruiser-1
20171105_191349_Empty.jpg,0,,,
20171105_191354_Location-1B_Heading-West_Ship-Fishing-1.jpg,1,1B,West,Fishing-1
20171105_191411_Location-2D_Heading-East_Ship-Freighter.jpg,1,2D,East,Freighter
20171105_191425_Empty.jpg,0,,,
20171105_191431_Location-6D_Heading-West_Ship-Cruiser-2.jpg,1,6D,West,Cruiser-2
20171105_191447_Location-7A_Heading-East_Ship-Cruiser-3.jpg,1,7A,East,Cruiser-3
20171105_191504_Location-2B_Heading-West_Ship-Cruiser-2.jpg,1,2B,West,Cruiser-2
20171105_191526_Location-4B_Heading-East_Ship-Fishing-1.jpg,1,4B,East,Fishing-1
20171105_191550_Location-3B_Heading-West_Ship-Freighter.jpg,1,3B,West,Freighter
20171105_191605_Location-3B_Heading-East_Ship-Fishing-2.jpg,1,3B,East,Fishing-2
20171105_191623_Location-7C_Heading-West_Ship-Cruiser-2.jpg,1,7C,West,Cruiser-2
20171105_213239_Empty.jpg,0,,,
20171105_213246_Location-1A_Heading-East_Ship-Fishing-1.jpg,1,1A,East,Fishing-1
20171105_213310_Location-7D_Heading-West_Ship-Freighter.jpg,1,7D,West,Freighter
20171105_213329_Location-2B_Heading-East_Ship-Cruiser-2.jpg,1,2B,East,Cruiser-2
20171105_213546_Empty.jpg,0,,,
20171105_213618_Location-3C_Heading-East_Ship-Cruiser-1.jpg,1,3C,East,Cruiser-1
20171105_213649_Location-6D_Heading-West_Ship-Cruiser-3.jpg,1,6D,West,Cruiser-3
20171105_213856_Empty.jpg,0,,,
20171105_213926_Location-7D_Heading-East_Ship-Cruiser-3.jpg,1,7D,East,Cruiser-3
20171105_214008_Location-5B_Heading-West_Ship-Cruiser-1.jpg,1,5B,West,Cruiser-1
20171105_214029_Location-7B_Heading-East_Ship-Cruiser-1.jpg,1,7B,East,Cruiser-1
20171105_214042_Location-4C_Heading-West_Ship-Cruiser-2.jpg,1,4C,West,Cruiser-2
20171105_214058_Location-6C_Heading-West_Ship-Cruiser-3.jpg,1,6C,West,Cruiser-3
20171105_214119_Location-3B_Heading-West_Ship-Fishing-2.jpg,1,3B,West,Fishing-2
20171105_214201_Location-1C_Heading-East_Ship-Fishing-2.jpg,1,1C,East,Fishing-2
20171105_214217_Location-3A_Heading-East_Ship-Freighter.jpg,1,3A,East,Freighter
20171105_214234_Location-5C_Heading-East_Ship-Fishing-2.jpg,1,5C,East,Fishing-2
20171105_214251_Location-6B_Heading-East_Ship-Fishing-2.jpg,1,6B,East,Fishing-2
20171105_214302_Empty.jpg,0,,,
20171105_214355_Location-6A_Heading-East_Ship-Fishing-1.jpg,1,6A,East,Fishing-1
20171105_214407_Empty.jpg,0,,,
20171105_214422_Location-6C_Heading-East_Ship-Cruiser-1.jpg,1,6C,East,Cruiser-1
20171105_214440_Location-4C_Heading-East_Ship-Fishing-1.jpg,1,4C,East,Fishing-1
20171105_214455_Location-3C_Heading-West_Ship-Cruiser-2.jpg,1,3C,West,Cruiser-2
20171105_214527_Location-1B_Heading-East_Ship-Freighter.jpg,1,1B,East,Freighter
20171105_214539_Location-3D_Heading-East_Ship-Freighter.jpg,1,3D,East,Freighter
20171105_214550_Location-6A_Heading-West_Ship-Cruiser-2.jpg,1,6A,West,Cruiser-2
20171105_214605_Location-3A_Heading-East_Ship-Cruiser-1.jpg,1,3A,East,Cruiser-1
20171105_214617_Location-2D_Heading-West_Ship-Cruiser-3.jpg,1,2D,West,Cruiser-3
20171105_214632_Location-6D_Heading-West_Ship-Freighter.jpg,1,6D,West,Freighter
20171105_214646_Location-5B_Heading-West_Ship-Cruiser-2.jpg,1,5B,West,Cruiser-2
20171105_214708_Location-5A_Heading-West_Ship-Freighter.jpg,1,5A,West,Freighter
20171105_214741_Empty.jpg,0,,,
20171105_214821_Location-6D_Heading-East_Ship-Cruiser-3.jpg,1,6D,East,Cruiser-3
20171105_214835_Location-1C_Heading-East_Ship-Fishing-2.jpg,1,1C,East,Fishing-2
20171105_214907_Location-2A_Heading-West_Ship-Cruiser-3.jpg,1,2A,West,Cruiser-3
20171105_214935_Location-5A_Heading-East_Ship-Freighter.jpg,1,5A,East,Freighter
20171105_214945_Location-1A_Heading-East_Ship-Freighter.jpg,1,1A,East,Freighter
20171105_215024_Location-2C_Heading-East_Ship-Cruiser-1.jpg,1,2C,East,Cruiser-1
20171105_215035_Location-4D_Heading-West_Ship-Fishing-1.jpg,1,4D,West,Fishing-1
20171105_215049_Location-7A_Heading-East_Ship-Fishing-1.jpg,1,7A,East,Fishing-1
20171105_215118_Location-2A_Heading-West_Ship-Fishing-1.jpg,1,2A,West,Fishing-1
20171105_215138_Location-1B_Heading-East_Ship-Cruiser-3.jpg,1,1B,East,Cruiser-3
20171105_215156_Empty.jpg,0,,,
20171105_215224_Location-1A_Heading-West_Ship-Cruiser-2.jpg,1,1A,West,Cruiser-2
20171105_215253_Location-1A_Heading-East_Ship-Freighter.jpg,1,1A,East,Freighter
20171105_215309_Location-6C_Heading-East_Ship-Cruiser-1.jpg,1,6C,East,Cruiser-1
20171105_215513_Location-2B_Heading-West_Ship-Fishing-1.jpg,1,2B,West,Fishing-1
20171105_215531_Empty.jpg,0,,,
20171105_215620_Empty.jpg,0,,,
20171105_215719_Location-3A_Heading-West_Ship-Freighter.jpg,1,3A,West,Freighter
20171105_215749_Location-2D_Heading-West_Ship-Fishing-1.jpg,1,2D,West,Fishing-1
20171105_215826_Location-6D_Heading-West_Ship-Fishing-1.jpg,1,6D,West,Fishing-1
20171105_220006_Location-7B_Heading-East_Ship-Cruiser-3.jpg,1,7B,East,Cruiser-3
20171105_220026_Location-6B_Heading-West_Ship-Freighter.jpg,1,6B,West,Freighter
20171105_220056_Location-5A_Heading-East_Ship-Cruiser-3.jpg,1,5A,East,Cruiser-3
20171105_220109_Location-5C_Heading-East_Ship-Fishing-2.jpg,1,5C,East,Fishing-2
20171105_220122_Empty.jpg,0,,,
20171105_220223_Location-5C_Heading-East_Ship-Cruiser-2.jpg,1,5C,East,Cruiser-2
20171105_220238_Location-5D_Heading-East_Ship-Fishing-1.jpg,1,5D,East,Fishing-1
20171105_220252_Location-3A_Heading-West_Ship-Cruiser-1.jpg,1,3A,West,Cruiser-1
20171105_220305_Location-2A_Heading-East_Ship-Cruiser-2.jpg,1,2A,East,Cruiser-2
20171105_220337_Location-6B_Heading-East_Ship-Cruiser-1.jpg,1,6B,East,Cruiser-1
20171105_220351_Location-7A_Heading-East_Ship-Cruiser-1.jpg,1,7A,East,Cruiser-1
20171105_220359_Location-7D_Heading-West_Ship-Freighter.jpg,1,7D,West,Freighter
20171105_220411_Location-1C_Heading-West_Ship-Freighter.jpg,1,1C,West,Freighter
20171105_220422_Location-7C_Heading-West_Ship-Cruiser-1.jpg,1,7C,West,Cruiser-1
20171105_220434_Location-2C_Heading-East_Ship-Cruiser-1.jpg,1,2C,East,Cruiser-1
20171105_220448_Location-3D_Heading-West_Ship-Fishing-2.jpg,1,3D,West,Fishing-2
20171105_220530_Location-4B_Heading-East_Ship-Fishing-1.jpg,1,4B,East,Fishing-1
20171105_220621_Location-3C_Heading-West_Ship-Cruiser-3.jpg,1,3C,West,Cruiser-3
20171105_220634_Location-6D_Heading-East_Ship-Fishing-1.jpg,1,6D,East,Fishing-1
20171105_220647_Location-1D_Heading-East_Ship-Freighter.jpg,1,1D,East,Freighter
20171105_220705_Empty.jpg,0,,,
20171105_220719_Empty.jpg,0,,,
20171105_220729_Location-2C_Heading-West_Ship-Cruiser-1.jpg,1,2C,West,Cruiser-1
20171105_220750_Location-6A_Heading-East_Ship-Cruiser-3.jpg,1,6A,East,Cruiser-3
20171105_220803_Location-3A_Heading-East_Ship-Cruiser-3.jpg,1,3A,East,Cruiser-3
20171105_220819_Location-4C_Heading-West_Ship-Cruiser-2.jpg,1,4C,West,Cruiser-2
20171105_220832_Location-2C_Heading-West_Ship-Freighter.jpg,1,2C,West,Freighter
20171105_220850_Location-3C_Heading-West_Ship-Cruiser-2.jpg,1,3C,West,Cruiser-2
20171105_220904_Empty.jpg,0,,,
20171105_220924_Location-3D_Heading-East_Ship-Cruiser-2.jpg,1,3D,East,Cruiser-2
20171105_220938_Location-2C_Heading-West_Ship-Fishing-1.jpg,1,2C,West,Fishing-1
20171105_220955_Location-6A_Heading-West_Ship-Freighter.jpg,1,6A,West,Freighter
20171105_221011_Location-1D_Heading-West_Ship-Cruiser-1.jpg,1,1D,West,Cruiser-1
20171105_221027_Location-1B_Heading-West_Ship-Freighter.jpg,1,1B,West,Freighter
20171105_221305_Empty.jpg,0,,,
20171105_221331_Location-2A_Heading-West_Ship-Freighter.jpg,1,2A,West,Freighter
20171105_221348_Location-4C_Heading-West_Ship-Fishing-2.jpg,1,4C,West,Fishing-2
20171105_221404_Location-2B_Heading-East_Ship-Fishing-1.jpg,1,2B,East,Fishing-1
20171105_221545_Empty.jpg,0,,,
20171105_221559_Location-7A_Heading-West_Ship-Cruiser-2.jpg,1,7A,West,Cruiser-2
20171105_221614_Empty.jpg,0,,,
20171105_221711_Location-5D_Heading-East_Ship-Cruiser-1.jpg,1,5D,East,Cruiser-1
20171105_221739_Location-5A_Heading-East_Ship-Cruiser-1.jpg,1,5A,East,Cruiser-1
20171105_221800_Empty.jpg,0,,,
20171105_221827_Location-4A_Heading-West_Ship-Cruiser-1.jpg,1,4A,West,Cruiser-1
20171105_221838_Location-4B_Heading-West_Ship-Freighter.jpg,1,4B,West,Freighter
20171105_221944_Location-5C_Heading-West_Ship-Cruiser-1.jpg,1,5C,West,Cruiser-1
20171105_222016_Location-3C_Heading-West_Ship-Freighter.jpg,1,3C,West,Freighter
20171105_222032_Location-4B_Heading-West_Ship-Freighter.jpg,1,4B,West,Freighter
20171105_222040_Empty.jpg,0,,,
20171105_222117_Location-4C_Heading-East_Ship-Fishing-1.jpg,1,4C,East,Fishing-1
20171105_222222_Location-7D_Heading-West_Ship-Cruiser-3.jpg,1,7D,West,Cruiser-3
20171105_222238_Location-5B_Heading-West_Ship-Cruiser-2.jpg,1,5B,West,Cruiser-2
20171105_222251_Location-5D_Heading-East_Ship-Freighter.jpg,1,5D,East,Freighter
20171105_222306_Location-1B_Heading-West_Ship-Cruiser-2.jpg,1,1B,West,Cruiser-2
20171105_222334_Location-7C_Heading-West_Ship-Fishing-2.jpg,1,7C,West,Fishing-2
20171105_222449_Location-6D_Heading-West_Ship-Fishing-2.jpg,1,6D,West,Fishing-2
20171105_222508_Location-1D_Heading-East_Ship-Freighter.jpg,1,1D,East,Freighter
20171105_222551_Location-6D_Heading-West_Ship-Freighter.jpg,1,6D,West,Freighter
20171105_222606_Location-2B_Heading-West_Ship-Fishing-1.jpg,1,2B,West,Fishing-1
20171105_222617_Empty.jpg,0,,,
20171105_222658_Location-7C_Heading-East_Ship-Fishing-2.jpg,1,7C,East,Fishing-2
20171105_222713_Location-5B_Heading-East_Ship-Cruiser-2.jpg,1,5B,East,Cruiser-2
20171105_222727_Location-2C_Heading-West_Ship-Fishing-1.jpg,1,2C,West,Fishing-1
20171105_222739_Empty.jpg,0,,,
20171105_222802_Location-2C_Heading-East_Ship-Fishing-2.jpg,1,2C,East,Fishing-2
20171105_222819_Location-7B_Heading-West_Ship-Cruiser-3.jpg,1,7B,West,Cruiser-3
20171105_222834_Location-3B_Heading-East_Ship-Fishing-2.jpg,1,3B,East,Fishing-2
20171105_222847_Location-5C_Heading-East_Ship-Cruiser-3.jpg,1,5C,East,Cruiser-3
20171105_222910_Location-2A_Heading-East_Ship-Cruiser-2.jpg,1,2A,East,Cruiser-2
20171105_222923_Location-3D_Heading-East_Ship-Fishing-2.jpg,1,3D,East,Fishing-2
20171105_222935_Location-5C_Heading-West_Ship-Freighter.jpg,1,5C,West,Freighter
20171105_222958_Location-6D_Heading-East_Ship-Fishing-1.jpg,1,6D,East,Fishing-1
20171105_223017_Location-3A_Heading-East_Ship-Cruiser-2.jpg,1,3A,East,Cruiser-2
20171105_223030_Location-4D_Heading-West_Ship-Freighter.jpg,1,4D,West,Freighter
20171105_223041_Empty.jpg,0,,,
20171105_223229_Location-2C_Heading-West_Ship-Cruiser-2.jpg,1,2C,West,Cruiser-2
20171105_223242_Location-3D_Heading-East_Ship-Cruiser-3.jpg,1,3D,East,Cruiser-3
20171105_223256_Location-3D_Heading-East_Ship-Freighter.jpg,1,3D,East,Freighter
20171105_223313_Empty.jpg,0,,,
20171105_223349_Location-4B_Heading-East_Ship-Cruiser-1.jpg,1,4B,East,Cruiser-1
20171105_223401_Location-3B_Heading-West_Ship-Cruiser-2.jpg,1,3B,West,Cruiser-2
20171105_223413_Location-6C_Heading-East_Ship-Fishing-1.jpg,1,6C,East,Fishing-1
20171105_223432_Location-5C_Heading-East_Ship-Cruiser-2.jpg,1,5C,East,Cruiser-2
20171105_223501_Location-3C_Heading-East_Ship-Fishing-1.jpg,1,3C,East,Fishing-1
20171105_223512_Location-6D_Heading-East_Ship-Freighter.jpg,1,6D,East,Freighter
20171105_223522_Location-7B_Heading-East_Ship-Cruiser-2.jpg,1,7B,East,Cruiser-2
20171105_223534_Location-3D_Heading-West_Ship-Cruiser-3.jpg,1,3D,West,Cruiser-3
20171105_223546_Location-1B_Heading-West_Ship-Cruiser-1.jpg,1,1B,West,Cruiser-1
20171105_223556_Location-6D_Heading-West_Ship-Freighter.jpg,1,6D,West,Freighter
20171105_223607_Location-4D_Heading-West_Ship-Fishing-1.jpg,1,4D,West,Fishing-1
20171105_223623_Location-3D_Heading-East_Ship-Fishing-1.jpg,1,3D,East,Fishing-1
20171105_223633_Location-1A_Heading-West_Ship-Freighter.jpg,1,1A,West,Freighter
20171105_223643_Location-7A_Heading-East_Ship-Fishing-1.jpg,1,7A,East,Fishing-1
20171105_223656_Location-2A_Heading-East_Ship-Fishing-1.jpg,1,2A,East,Fishing-1
20171105_223704_Location-1D_Heading-East_Ship-Cruiser-1.jpg,1,1D,East,Cruiser-1
20171105_223744_Location-1D_Heading-East_Ship-Fishing-2.jpg,1,1D,East,Fishing-2
20171105_223752_Empty.jpg,0,,,
20171105_223803_Location-7D_Heading-East_Ship-Cruiser-2.jpg,1,7D,East,Cruiser-2
20171105_223817_Location-7A_Heading-East_Ship-Cruiser-2.jpg,1,7A,East,Cruiser-2
20171105_223824_Location-4D_Heading-West_Ship-Cruiser-3.jpg,1,4D,West,Cruiser-3
20171105_223836_Location-5C_Heading-East_Ship-Fishing-2.jpg,1,5C,East,Fishing-2
20171105_223851_Location-3C_Heading-East_Ship-Fishing-2.jpg,1,3C,East,Fishing-2
20171105_224009_Location-4C_Heading-East_Ship-Cruiser-3.jpg,1,4C,East,Cruiser-3
20171105_224036_Empty.jpg,0,,,
20171105_224043_Location-4A_Heading-West_Ship-Cruiser-3.jpg,1,4A,West,Cruiser-3
20171105_224103_Location-7A_Heading-West_Ship-Cruiser-2.jpg,1,7A,West,Cruiser-2
20171105_224129_Location-5D_Heading-West_Ship-Fishing-2.jpg,1,5D,West,Fishing-2
20171105_224142_Location-2A_Heading-West_Ship-Cruiser-3.jpg,1,2A,West,Cruiser-3
20171105_224153_Location-7C_Heading-West_Ship-Cruiser-3.jpg,1,7C,West,Cruiser-3
20171105_224203_Location-6A_Heading-West_Ship-Fishing-2.jpg,1,6A,West,Fishing-2
20171105_224229_Empty.jpg,0,,,
20171105_224242_Location-5A_Heading-West_Ship-Cruiser-2.jpg,1,5A,West,Cruiser-2
20171105_224258_Location-1A_Heading-East_Ship-Cruiser-3.jpg,1,1A,East,Cruiser-3
20171105_224310_Location-7D_Heading-East_Ship-Cruiser-1.jpg,1,7D,East,Cruiser-1
20171105_224321_Location-6C_Heading-West_Ship-Cruiser-2.jpg,1,6C,West,Cruiser-2
20171105_224343_Location-3B_Heading-West_Ship-Cruiser-1.jpg,1,3B,West,Cruiser-1
20171105_224353_Location-1B_Heading-West_Ship-Cruiser-3.jpg,1,1B,West,Cruiser-3
20171105_224404_Location-3C_Heading-West_Ship-Fishing-2.jpg,1,3C,West,Fishing-2
20171105_224415_Location-2D_Heading-East_Ship-Fishing-1.jpg,1,2D,East,Fishing-1
20171105_224424_Location-7B_Heading-West_Ship-Cruiser-1.jpg,1,7B,West,Cruiser-1
20171105_224441_Location-3C_Heading-West_Ship-Fishing-1.jpg,1,3C,West,Fishing-1
20171105_224455_Location-4A_Heading-East_Ship-Cruiser-1.jpg,1,4A,East,Cruiser-1
20171105_224506_Location-5D_Heading-East_Ship-Freighter.jpg,1,5D,East,Freighter
20171105_224517_Location-3C_Heading-West_Ship-Cruiser-1.jpg,1,3C,West,Cruiser-1
20171105_224556_Location-7A_Heading-West_Ship-Cruiser-2.jpg,1,7A,West,Cruiser-2
20171105_224605_Location-7A_Heading-East_Ship-Fishing-1.jpg,1,7A,East,Fishing-1
20171105_224613_Location-7B_Heading-West_Ship-Freighter.jpg,1,7B,West,Freighter
20171105_224626_Location-7A_Heading-East_Ship-Fishing-1.jpg,1,7A,East,Fishing-1
20171105_224647_Location-4D_Heading-East_Ship-Cruiser-3.jpg,1,4D,East,Cruiser-3
20171105_224659_Location-5B_Heading-West_Ship-Cruiser-3.jpg,1,5B,West,Cruiser-3
20171105_224752_Location-6A_Heading-East_Ship-Cruiser-2.jpg,1,6A,East,Cruiser-2
20171105_224803_Location-7D_Heading-East_Ship-Freighter.jpg,1,7D,East,Freighter
20171105_224814_Location-7B_Heading-West_Ship-Cruiser-3.jpg,1,7B,West,Cruiser-3
20171105_224826_Location-6B_Heading-West_Ship-Cruiser-2.jpg,1,6B,West,Cruiser-2
20171105_224847_Empty.jpg,0,,,
20171105_224854_Location-3D_Heading-East_Ship-Fishing-2.jpg,1,3D,East,Fishing-2
20171105_224940_Location-1D_Heading-East_Ship-Fishing-1.jpg,1,1D,East,Fishing-1
20171105_225024_Location-1A_Heading-East_Ship-Fishing-1.jpg,1,1A,East,Fishing-1
20171105_225035_Location-2C_Heading-West_Ship-Cruiser-3.jpg,1,2C,West,Cruiser-3
20171105_225048_Location-4D_Heading-West_Ship-Cruiser-1.jpg,1,4D,West,Cruiser-1
20171105_225058_Location-5D_Heading-East_Ship-Fishing-1.jpg,1,5D,East,Fishing-1
20171105_225109_Location-5D_Heading-East_Ship-Cruiser-1.jpg,1,5D,East,Cruiser-1
20171105_225122_Empty.jpg,0,,,
20171105_225147_Location-3B_Heading-East_Ship-Cruiser-3.jpg,1,3B,East,Cruiser-3
20171105_225253_Location-1A_Heading-West_Ship-Cruiser-3.jpg,1,1A,West,Cruiser-3
20171105_225302_Location-1A_Heading-East_Ship-Fishing-2.jpg,1,1A,East,Fishing-2
20171105_225316_Empty.jpg,0,,,
20171105_225339_Location-5A_Heading-West_Ship-Fishing-2.jpg,1,5A,West,Fishing-2
20171105_225352_Location-4A_Heading-West_Ship-Cruiser-2.jpg,1,4A,West,Cruiser-2
20171105_225405_Location-4C_Heading-West_Ship-Freighter.jpg,1,4C,West,Freighter
20171105_225418_Location-4A_Heading-West_Ship-Fishing-1.jpg,1,4A,West,Fishing-1
20171105_225431_Location-6A_Heading-West_Ship-Fishing-1.jpg,1,6A,West,Fishing-1
20171105_225438_Location-7C_Heading-East_Ship-Freighter.jpg,1,7C,East,Freighter
20171105_225448_Location-7D_Heading-West_Ship-Cruiser-1.jpg,1,7D,West,Cruiser-1
20171105_225504_Location-4A_Heading-East_Ship-Cruiser-3.jpg,1,4A,East,Cruiser-3
20171105_225555_Location-6D_Heading-East_Ship-Cruiser-1.jpg,1,6D,East,Cruiser-1
20171105_225608_Location-2B_Heading-West_Ship-Fishing-1.jpg,1,2B,West,Fishing-1
20171105_225618_Location-1A_Heading-West_Ship-Cruiser-2.jpg,1,1A,West,Cruiser-2
20171105_225637_Location-3D_Heading-East_Ship-Cruiser-3.jpg,1,3D,East,Cruiser-3
20171105_225659_Location-5B_Heading-East_Ship-Fishing-2.jpg,1,5B,East,Fishing-2
20171105_225712_Location-2D_Heading-West_Ship-Cruiser-2.jpg,1,2D,West,Cruiser-2
20171105_225737_Location-1B_Heading-East_Ship-Cruiser-3.jpg,1,1B,East,Cruiser-3
20171105_225753_Location-2A_Heading-West_Ship-Cruiser-2.jpg,1,2A,West,Cruiser-2
20171105_225806_Location-5B_Heading-East_Ship-Cruiser-3.jpg,1,5B,East,Cruiser-3
20171105_225827_Location-1A_Heading-West_Ship-Cruiser-3.jpg,1,1A,West,Cruiser-3
20171105_225838_Location-7B_Heading-East_Ship-Fishing-1.jpg,1,7B,East,Fishing-1
20171105_225910_Empty.jpg,0,,,
20171105_225958_Location-5C_Heading-East_Ship-Fishing-2.jpg,1,5C,East,Fishing-2
20171105_230012_Location-6D_Heading-West_Ship-Freighter.jpg,1,6D,West,Freighter
20171105_230023_Empty.jpg,0,,,
20171105_230030_Location-3C_Heading-East_Ship-Cruiser-1.jpg,1,3C,East,Cruiser-1
20171105_230040_Location-7C_Heading-West_Ship-Fishing-2.jpg,1,7C,West,Fishing-2
20171105_230055_Location-2B_Heading-East_Ship-Cruiser-2.jpg,1,2B,East,Cruiser-2
20171105_230110_Location-6D_Heading-West_Ship-Freighter.jpg,1,6D,West,Freighter
20171105_230120_Location-5A_Heading-East_Ship-Cruiser-1.jpg,1,5A,East,Cruiser-1
20171105_230227_Location-6A_Heading-East_Ship-Freighter.jpg,1,6A,East,Freighter
20171105_230235_Empty.jpg,0,,,
20171106_184157_Location-4A_Heading-West_Ship-Cruiser-2.jpg,1,4A,West,Cruiser-2
20171106_184206_Empty.jpg,0,,,
20171106_184211_Location-3C_Heading-West_Ship-Cruiser-1.jpg,1,3C,West,Cruiser-1
20171106_184229_Location-6A_Heading-West_Ship-Cruiser-3.jpg,1,6A,West,Cruiser-3
20171106_184244_Location-1A_Heading-West_Ship-Fishing-2.jpg,1,1A,West,Fishing-2
20171106_184256_Location-6A_Heading-West_Ship-Cruiser-1.jpg,1,6A,West,Cruiser-1
20171106_184329_Location-4B_Heading-West_Ship-Cruiser-2.jpg,1,4B,West,Cruiser-2
20171106_184338_Location-5B_Heading-West_Ship-Fishing-2.jpg,1,5B,West,Fishing-2
20171106_184354_Location-2B_Heading-West_Ship-Freighter.jpg,1,2B,West,Freighter
20171106_184402_Location-5B_Heading-East_Ship-Cruiser-3.jpg,1,5B,East,Cruiser-3
20171106_184411_Location-6A_Heading-West_Ship-Freighter.jpg,1,6A,West,Freighter
20171106_184421_Location-4A_Heading-West_Ship-Cruiser-2.jpg,1,4A,West,Cruiser-2
20171106_184434_Location-2C_Heading-East_Ship-Cruiser-1.jpg,1,2C,East,Cruiser-1
20171106_184512_Location-7B_Heading-East_Ship-Cruiser-1.jpg,1,7B,East,Cruiser-1
20171106_184543_Location-5A_Heading-West_Ship-Cruiser-3.jpg,1,5A,West,Cruiser-3
20171106_184607_Location-5B_Heading-East_Ship-Cruiser-2.jpg,1,5B,East,Cruiser-2
20171106_184646_Location-5C_Heading-West_Ship-Freighter.jpg,1,5C,West,Freighter
20171106_184654_Location-2A_Heading-East_Ship-Freighter.jpg,1,2A,East,Freighter
20171106_184702_Location-7C_Heading-East_Ship-Cruiser-3.jpg,1,7C,East,Cruiser-3
20171106_184712_Location-2A_Heading-East_Ship-Cruiser-2.jpg,1,2A,East,Cruiser-2
20171106_184731_Location-2D_Heading-West_Ship-Freighter.jpg,1,2D,West,Freighter
20171106_184742_Location-2D_Heading-East_Ship-Fishing-1.jpg,1,2D,East,Fishing-1
20171106_184755_Location-2C_Heading-East_Ship-Freighter.jpg,1,2C,East,Freighter
